tweet id,time of tweet,user id,user name,text
1450000000000000000,2021-10-13,8.93e+17,leoventuresllc,GoogleWhat Can  Say  google googl stock tech internet goog technology epic monster https://./oxGlspoM
1450000000000000000,2021-10-13,8.93e+17,leoventuresllc,Google  the internet  google googl goog stock market tech technology epic internet monster https://./mUluOpr
1450000000000000000,2021-10-13,8.93e+17,leoventuresllc,GoogleWhat Can  Say  google googl stock tech internet goog technology epic monster https://./yuvmZnmPIh
1450000000000000000,2021-10-13,1916302717.0,InvestmentJuan,More advanced investors and traders dont only focus  local stocks They also have exposures  global markets GOOG  AMZN GrowYourMoney BeFinanciallyFree InvestMoneyPH https://./NMrLjONKCd
1450000000000000000,2021-10-13,34251248.0,iweinstein,"Citrix® and Google Cloud Team  Deliver Future  Hybrid Work    
 URL https://./NEeOJG   Citrix CTXS Goog Google GoogleCloud HybridWork Partnership https://./yWrFGGIub"
1450000000000000000,2021-10-13,8.93e+17,leoventuresllc,Google  the internet  google googl goog stock market tech technology epic internet monster https://./bSHEZK
1450000000000000000,2021-10-13,1.17e+18,dailytradingapp, GOOG Why BlackBerry Shares Are Rising https://./PNdnsIY https://./UhWznpJas
1450000000000000000,2021-10-13,1.17e+18,dailytradingapp,GOOG InsiderSelling  Stocks Insiders Are Selling https://./ASeSnNJbyD https://./CWcpixqVsk
1450000000000000000,2021-10-13,1.2e+18,ETFsStockPicker,GOOG InsiderSelling News NTNX TWTR  Stocks Insiders Are Selling https://./ijKOrki https://./HhkKrEmNW https://./zHdCVDC
1450000000000000000,2021-10-13,1283519791.0,TradingSurfers,"Wave  Trade Setup  MSFT 📈

Before amp After 💸
Are you  with 
https://./tDvfdQFQl

algotrading NDX SPX MSFT APPL AMZN GOOG GOOGL  AMD NVDA SMH XLK JPM   UNH INTC   PFE MRK BAC DIS NFLX TSLA https://./DwymsKbs"
1450000000000000000,2021-10-13,1.2e+18,ETFsStockPicker,BZIIT GOOG Insidersells News sergeybrin Director  Alphabet Trades   Company Stock https://./vxtZdehUf https://./HhkKrEmNW https://./WWclEfVPm
